level_0,Date,Close,High,Low,Open,Volume,Month,Year,Daily Price Change,Percentage Price Change,MA7,MA30,Daily Return,Monthly Return,Volatility,High Low Difference
84,2022-10-06,142.76611328125,144.83746445591814,142.55996829483985,143.13915751475955,68402200,October,2022,-0.3730442335095461,-0.2606164797854705,141.76897975376673,150.67518971761066,-0.6625525920496256,-0.6625525920496256,2.244893028556341,2.2774961610782896
85,2022-10-07,137.52391052246094,140.47878470691822,136.8956342636469,139.9290298735793,85925600,October,2022,-2.4051193511183726,-1.7188137109871402,140.4016396658761,149.69547017415366,-3.6718816799767406,-3.6718816799767406,2.2887195237719826,3.5831504432713075
86,2022-10-10,137.84786987304688,139.29094450363405,136.03176603772727,137.84786987304688,74899000,October,2022,0.0,0.0,140.1127450125558,148.9363016764323,0.2355658367735547,0.2355658367735547,2.2141239691889267,3.2591784659067855
87,2022-10-11,136.4342498779297,138.76084793369003,135.68817645989057,137.33739611427865,77033700,October,2022,-0.9031462363489595,-0.6576113002735614,140.22213309151786,148.20331217447918,-1.0254928106027905,-1.0254928106027905,2.2102762815487798,3.07267147379946
88,2022-10-12,135.8059844970703,137.78898779453905,135.62928879673916,136.58152223774053,70433700,October,2022,-0.7755377406702166,-0.5678203961735595,139.645751953125,147.53020528157552,-0.4604894895684164,-0.4604894895684164,2.201237577311531,2.159698997799893
89,2022-10-13,140.37078857421875,140.95978909716513,131.90867508719168,132.51732843397534,113224000,October,2022,7.853460140243413,5.926364674757441,139.20960562569755,147.06456095377604,3.3612687202653424,3.3612687202653424,2.3036911296416425,9.051114009973446
90,2022-10-14,135.84521484375,141.87274416009623,135.6586927916983,141.66658426591152,88598000,October,2022,-5.821369422161524,-4.109204335183713,138.08487592424666,146.4238484700521,-3.2240138966491028,-3.2240138966491028,2.359709005659131,6.214051368397946
91,2022-10-17,139.80142211914062,140.282437004532,137.7006219624551,138.48597103526853,85250900,October,2022,1.315451083872091,0.9498803915214503,137.6613486153739,145.98536326090496,2.912290491749059,2.912290491749059,2.4284851181955687,2.5818150420768973
92,2022-10-18,141.11688232421875,144.0128431743189,138.03439937209953,142.825015544548,99136600,October,2022,-1.7081332203292448,-1.1959622155941356,138.17463030133928,145.6326126098633,0.940949087025067,0.940949087025067,2.436003963172313,5.978443802219374
93,2022-10-19,141.22488403320312,142.2949146585481,138.9081120945048,139.09463421767856,61758300,October,2022,2.1302498155245644,1.5315111380866016,138.65706089564733,145.23666636149088,0.07653351406688991,0.07653351406688991,2.4272528294867213,3.3868025640433075
94,2022-10-20,140.763427734375,143.2176335425476,140.03697742261386,140.40021006813618,64522000,October,2022,0.3632176662388247,0.2587016544081774,139.27551487513952,144.87442321777343,-0.32675282545789885,-0.32675282545789885,2.4235082111842217,3.1806561199337295
95,2022-10-21,144.57240295410156,145.1417806685085,140.03701908535325,140.25299045906925,86548600,October,2022,4.31941249503231,3.0797293383151545,140.5278603690011,144.543923441569,2.7059409400815415,2.7059409400815415,2.4525748056571803,5.104761583155238
96,2022-10-24,146.7124786376953,147.47818995640918,143.32567626964715,144.4938810962025,75981900,October,2022,2.2185975414928123,1.5354266385963384,141.4338160923549,144.08645985921223,1.48027952767249,1.48027952767249,2.3540554228353505,4.152513686762035
97,2022-10-25,149.54949951171875,149.69676086548404,146.6240900308621,147.34071401880695,74732300,October,2022,2.208785492911801,1.4991005762533944,143.39157104492188,144.0373758951823,1.933728405631685,1.933728405631685,2.1351314798306253,3.072670834621931
98,2022-10-26,146.6143035888672,149.20594507644813,145.32828678897533,148.19481318791426,88194300,October,2022,-1.580509599047076,-1.066508041035792,144.3648398263114,143.84234822591145,-1.962691906315317,-1.962691906315317,2.155975122840488,3.877658287472798
99,2022-10-27,142.1476287841797,146.3197794029668,141.48990330767347,145.35773474859954,109180200,October,2022,-3.210105964419853,-2.2084177150750355,144.5120893205915,143.59463653564453,-3.0465477755927894,-3.0465477755927894,2.1987742005517403,4.829876095293315
